FIRST,LAST,FULL NAME,Additional Recording,Artwork,Cello,Clarinet,Composition & Production,Design,Double Bass,Extended Piano,Field Recording,Guitar,Harp,Heartbeats,Horn,Joik,Marimba,Mastered,Mixed,Organ,Percussion,Piano,Thank You,Vibraphone,Viola,Voice,Australia,Canada (East),Canada (West),France,Iceland,Israel,Norway,Portugal,Sweden,United Kingdom,United States of America,Right Into You ,Aware,That So (+ Nadia Sirota),Overhang,Ebb,Fast Twitch,Bodied,Lagos,Honeymoon,(ALBUM WIDE)
John,Baron,John Baron,,,,,,,1,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,
Dan,Bora,Dan Bora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1
Nils,Børstrand,Nils Børstrand,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,1,,1,,,,,,,,,1,,
Eline,Brun,Eline Brun,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,1,,1,,,,,,,,,1,,
Mack,Carson,Mack Carson,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,1,1,1,1,1,1,1,1,1,1
Anthony,Cenerini,Anthony Cenerini ,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,
Paul,Evans,Paul Evans,1,,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,1,,,,,,,1,1,1,1,1,1,1,1,1,1
Morten,Evensen,Morten Evensen,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,1,
Noel,Fanaeian,Noel Fanaeian,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,1,1,1,1,1,1,1,1,1,1
Heather,Gunn,Heather Gunn,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,1,1,1,1,1,1,1,1,1,1
Liam,Hockley,Liam Hockley,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,
Greg,Kawchuk,Greg Kawchuk,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,1,1,1,1,1,1,1,1,1,1
Janet,Kawchuk,Janet Kawchuk,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,1,1,1,1,1,1,1,1,1,1
Jonathan,Kawchuk,Jonathan Kawchuk ,,,,,1,1,,1,1,,,1,,,,,,,1,1,,,,1,,,1,,,,1,1,,1,,1,1,1,1,1,1,1,1,1,1
Michael,Kawchuk,Michael Kawchuk,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,1,1,1,1,1,1,1,1,1,1
Daylan,Law,Daylan Law,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,1,,1,,,,,,,,,1,,
Jeremiah,Levine,Jeremiah Levine,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,1,1,1,1,1,1,1,1,1,1
Steve,Levy,Steve Levy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew,Macdonald,Andrew Macdonald,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,1,,,,
Gur,Magen,Gur Magen,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,
Katlin,Mathison,Katlin Mathison ,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,1,,1,,,,,,,,,1,,
Tom,Moth,Tom Moth,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,
Amie,Neigum,Amie Neigum,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,1,1,1,1,1,1,1,1,1,1
Anat,Nevo,Anat Nevo,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,
Gøril,Nilsen,Gøril Nilsen,,,,,,,,,,,,1,,1,,,,,,,,,,1,,,,,,,,1,,1,,,,,,,,,1,,
Tom,O’Connor,Tom O’Connor,,,,,,,,,,,,1,,,,,,,,,1,,,1,,,,,,,,1,,1,,,,,,,,,1,,
TP,Oliva,TP Oliva ,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,1,1,1,1,1,1,1,1,1
Benoit,Paillé,Benoit Paillé,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,1,1,1,1,1,1,1,1
Daniel,Rejmer,Daniel Rejmer,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,
Tahlia,Rose,Tahlia Rose,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1
Jackie,Saik,Jackie Saik,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,1,1,1,1,1,1,1,1
Sturle,Sandvik,Sturle Sandvik,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,
Lill,Scheie,Lill Scheie,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,1,,1,,,,,,,,,1,,
Anna,Siminoski,Anna Siminoski,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,
Nadia,Sirota,Nadia Sirota,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,,
Phil,Steventon,Phil Steventon,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,1,,,,,,1,,,,,
Mathias,Van Eacloo,Mathias Van Eacloo,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,1,1,1,1,1,1,1,1,1,1
